ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
16345,0.10400000000000001,0.14400000000000002,0.034
16346,0.105,0.16,0.035
16347,0.122,0.162,0.039
16350,0.10400000000000001,0.174,0.034
16351,0.121,0.154,0.039
16352,0.113,0.159,0.036000000000000004
16353,0.131,0.158,0.042
16354,0.11900000000000001,0.174,0.04
16360,0.11,0.17,0.036000000000000004
16361,0.1,0.156,0.031
16362,0.10099999999999999,0.165,0.032
16364,0.102,0.16,0.033
16365,0.106,0.156,0.035
16370,0.134,0.152,0.042
16371,0.113,0.15,0.040999999999999995
16372,0.095,0.184,0.031
16373,0.106,0.16399999999999998,0.034
16374,0.115,0.158,0.038
16401,0.09300000000000001,0.161,0.027999999999999997
16402,0.111,0.17600000000000002,0.035
16403,0.091,0.17600000000000002,0.028999999999999998
16404,0.121,0.183,0.04
16405,0.113,0.175,0.037000000000000005
16406,0.12,0.168,0.040999999999999995
16407,0.115,0.17600000000000002,0.037000000000000005
16410,0.096,0.163,0.028999999999999998
16411,0.11,0.166,0.033
16412,0.079,0.17300000000000001,0.024
16415,0.08900000000000001,0.127,0.028999999999999998
16416,0.09699999999999999,0.179,0.03
16417,0.109,0.16699999999999998,0.034
16420,0.11,0.17,0.035
16421,0.09699999999999999,0.14300000000000002,0.031
16422,0.096,0.155,0.03
16423,0.106,0.177,0.032
16424,0.121,0.155,0.04
16426,0.095,0.155,0.027999999999999997
16427,0.096,0.175,0.03
16428,0.094,0.159,0.03
16433,0.09300000000000001,0.151,0.031
16434,0.11199999999999999,0.204,0.036000000000000004
16435,0.111,0.18100000000000002,0.035
16436,0.11199999999999999,0.17,0.034
16438,0.11199999999999999,0.18100000000000002,0.036000000000000004
16440,0.09,0.14800000000000002,0.027999999999999997
16441,0.098,0.16,0.03
16442,0.09699999999999999,0.16399999999999998,0.03
16443,0.10099999999999999,0.174,0.03
16444,0.011000000000000001,0.258,0.005
16501,0.237,0.231,0.075
16502,0.114,0.209,0.035
16503,0.166,0.242,0.046
16504,0.10300000000000001,0.183,0.033
16505,0.099,0.13699999999999998,0.032
16506,0.091,0.139,0.028999999999999998
16507,0.11599999999999999,0.22699999999999998,0.034
16508,0.09699999999999999,0.16899999999999998,0.032
16509,0.099,0.145,0.032
16510,0.113,0.17300000000000001,0.034
16511,0.10800000000000001,0.163,0.035
16546,0.01,0.259,0.004
16563,0.01,0.243,0.004
16601,0.107,0.185,0.034
16602,0.11599999999999999,0.177,0.038
16611,0.109,0.168,0.035
16613,0.10800000000000001,0.168,0.033
16616,0.122,0.162,0.042
16617,0.094,0.155,0.031
16619,0.1,0.17300000000000001,0.031
16620,0.11599999999999999,0.17300000000000001,0.040999999999999995
16621,0.106,0.171,0.034
16622,0.11599999999999999,0.16,0.038
16623,0.11,0.16699999999999998,0.036000000000000004
16624,0.09,0.171,0.027999999999999997
16625,0.113,0.184,0.036000000000000004
16627,0.114,0.168,0.038
16630,0.09300000000000001,0.179,0.03
16631,0.091,0.17600000000000002,0.027999999999999997
16633,0.10400000000000001,0.20199999999999999,0.033
16634,0.114,0.16399999999999998,0.036000000000000004
16635,0.10300000000000001,0.158,0.034
16636,0.11,0.165,0.035
16637,0.10300000000000001,0.16899999999999998,0.033
16638,0.096,0.147,0.037000000000000005
16639,0.107,0.17,0.034
16640,0.12300000000000001,0.159,0.039
16641,0.10099999999999999,0.17300000000000001,0.032
16645,0.129,0.171,0.043
16646,0.11199999999999999,0.163,0.038
16647,0.111,0.145,0.036000000000000004
16648,0.10099999999999999,0.141,0.034
16650,0.11199999999999999,0.17300000000000001,0.036000000000000004
16651,0.096,0.17300000000000001,0.03
16652,0.10099999999999999,0.16899999999999998,0.032
16655,0.106,0.174,0.035
16656,0.109,0.177,0.035
16657,0.11,0.156,0.035
16659,0.106,0.17300000000000001,0.036000000000000004
16661,0.113,0.18100000000000002,0.037000000000000005
16662,0.11599999999999999,0.155,0.042
16664,0.102,0.17300000000000001,0.033
16665,0.091,0.153,0.03
16666,0.114,0.179,0.038
16667,0.10800000000000001,0.171,0.034
16668,0.109,0.16399999999999998,0.035
16669,0.09699999999999999,0.159,0.031
16671,0.114,0.174,0.04
16672,0.11900000000000001,0.19,0.04
16673,0.102,0.16699999999999998,0.033
16674,0.111,0.166,0.037000000000000005
16677,0.1,0.14800000000000002,0.034
16678,0.113,0.16699999999999998,0.037000000000000005
16679,0.133,0.17800000000000002,0.043
16680,0.114,0.174,0.04
16682,0.11699999999999999,0.18100000000000002,0.039
16683,0.10400000000000001,0.13699999999999998,0.032
16685,0.113,0.165,0.036000000000000004
16686,0.10300000000000001,0.16399999999999998,0.034
16689,0.11,0.156,0.037000000000000005
16691,0.11699999999999999,0.149,0.04
