Zip Code,Performance Category,Actual ACP Enrollment,Predicted ACP enrollment,Claimed ACP subscribers,Total Support (in dollars),Total Households,Eligible Households,Wireline Broadband,Cellular Data Only,No Computer,"Income $15,000 or less",Rent Burdened,Population Age 65+,Share of population foreign born,State Code
29692,LOW,304,342,217,7660,1884,1191,43%,23%,24%,12%,54%,18%,1%,45
29720,LOW,2674,3640,2000,70700,19335,9478,67%,10%,11%,11%,53%,19%,3%,45
29726,LOW,70,87,54,1820,674,243,28%,25%,13%,12%,25%,12%,4%,45
29728,LOW,715,925,543,17076,3679,2420,50%,13%,19%,20%,50%,14%,4%,45
29742,LOW,153,185,128,3955,1010,664,18%,32%,11%,18%,53%,33%,1%,45
29819,LOW,77,91,45,1850,626,194,45%,15%,10%,9%,44%,21%,2%,45
29829,LOW,509,628,370,11675,4124,1490,70%,13%,9%,8%,58%,12%,4%,45
29832,LOW,420,530,312,10320,2031,1284,37%,22%,20%,21%,56%,19%,4%,45
29843,LOW,66,76,40,1600,454,246,19%,30%,31%,9%,34%,25%,0%,45
29856,LOW,152,209,89,3550,1024,660,39%,25%,8%,11%,82%,15%,13%,45
29860,LOW,363,443,165,5550,6158,1430,72%,14%,3%,5%,40%,20%,2%,45
29924,LOW,299,375,173,5990,1872,1135,59%,17%,14%,11%,39%,20%,2%,45
29929,LOW,34,40,21,830,412,250,76%,8%,9%,2%,79%,15%,0%,45
29944,LOW,294,330,192,7110,1490,1076,54%,14%,12%,12%,53%,18%,5%,45
30002,LOW,220,268,81,3170,2810,866,84%,8%,3%,11%,64%,18%,12%,13
30012,LOW,2058,2749,951,36630,11562,6662,58%,15%,9%,11%,56%,12%,12%,13
30019,LOW,1039,1402,603,21480,14742,2568,92%,5%,0%,4%,47%,10%,14%,13
30038,LOW,3018,3338,1456,53608,14393,6365,68%,14%,5%,7%,58%,12%,13%,13
30039,LOW,1931,2564,869,31534,15744,5485,85%,6%,1%,4%,54%,11%,21%,13
30043,LOW,2767,3459,2292,70802,28151,9431,84%,7%,2%,7%,58%,11%,26%,13
30056,LOW,95,116,58,2000,786,337,45%,26%,11%,11%,38%,15%,2%,13
30058,LOW,5236,5742,2607,92206,21719,10477,62%,13%,5%,10%,52%,10%,11%,13
30066,LOW,1083,1507,548,19480,21998,5306,89%,5%,1%,4%,49%,13%,14%,13
30080,LOW,2072,2697,1523,47470,24527,7559,90%,7%,2%,5%,40%,9%,17%,13
30082,LOW,944,1066,744,23229,10757,3027,89%,6%,3%,4%,41%,13%,16%,13
30083,LOW,4800,5599,2146,81107,20719,11938,66%,15%,5%,11%,60%,9%,21%,13
30088,LOW,2415,2760,1141,41114,10683,5297,67%,14%,5%,9%,62%,15%,9%,13
30096,LOW,2268,3136,1429,45414,27057,10877,79%,9%,3%,8%,57%,12%,32%,13
30106,LOW,1402,1790,737,26065,8796,3772,81%,8%,3%,8%,59%,14%,12%,13
30132,LOW,1333,1625,669,24015,15927,4268,78%,8%,6%,6%,47%,11%,7%,13
30143,LOW,652,758,482,15357,9728,3520,76%,11%,5%,7%,41%,26%,3%,13
30157,LOW,1585,1806,780,27950,16642,5129,75%,11%,4%,5%,45%,12%,5%,13
30165,LOW,2128,2553,985,35766,15168,8130,68%,15%,8%,11%,45%,15%,12%,13
30168,LOW,1859,2147,829,29150,8993,4820,78%,12%,3%,9%,57%,9%,17%,13
30175,LOW,238,291,162,5355,2200,943,70%,10%,12%,9%,51%,16%,2%,13
30178,LOW,133,158,69,2315,1362,420,42%,25%,14%,13%,18%,25%,6%,13
30185,LOW,201,246,129,4600,1446,736,52%,28%,10%,16%,59%,16%,1%,13
30187,LOW,265,315,118,4220,2828,834,76%,12%,4%,6%,52%,14%,6%,13
30213,LOW,2607,3447,1252,43445,14918,5197,83%,8%,2%,6%,56%,7%,6%,13
30220,LOW,262,353,172,6960,1888,734,47%,18%,6%,14%,52%,12%,1%,13
30236,LOW,3779,4151,1661,63190,17234,9006,68%,12%,5%,7%,49%,10%,15%,13
30265,LOW,1089,1212,861,27681,13612,3283,84%,5%,3%,6%,47%,15%,8%,13
30268,LOW,633,826,325,11400,4151,1613,69%,9%,11%,12%,50%,16%,8%,13
30273,LOW,1336,1478,631,24617,6162,2725,72%,10%,4%,10%,34%,9%,9%,13
30276,LOW,413,510,305,10090,6235,1420,76%,9%,5%,7%,30%,13%,4%,13
30277,LOW,342,401,255,8057,8078,1299,87%,6%,2%,3%,38%,15%,5%,13
30288,LOW,749,899,317,10960,3432,1288,71%,9%,12%,18%,66%,12%,13%,13
30294,LOW,3054,3560,1593,56177,14862,5178,71%,8%,5%,5%,48%,13%,7%,13
30296,LOW,2356,2838,1172,43363,9971,5478,75%,11%,4%,10%,54%,13%,10%,13
30312,LOW,2047,2480,1016,38680,13207,6194,77%,12%,5%,18%,43%,11%,8%,13
30317,LOW,727,919,303,11990,5997,1848,78%,10%,6%,12%,46%,9%,5%,13
30318,LOW,4912,5511,2567,94454,24206,12974,76%,8%,7%,15%,52%,9%,9%,13
30331,LOW,6217,7277,3095,114176,24808,12632,71%,14%,7%,13%,51%,14%,4%,13
30344,LOW,3482,4175,1692,63579,14947,8813,71%,14%,6%,14%,56%,11%,6%,13
30411,LOW,175,215,120,4092,767,514,36%,12%,40%,30%,66%,15%,1%,13
30415,LOW,185,211,139,4905,2448,787,73%,10%,5%,7%,32%,21%,2%,13
30434,LOW,476,580,291,10290,1880,1234,40%,25%,21%,22%,48%,15%,2%,13
30439,LOW,696,845,441,17280,3845,2576,52%,19%,15%,18%,45%,17%,6%,13
30442,LOW,746,896,497,18320,3329,2766,37%,20%,16%,24%,45%,19%,6%,13
30456,LOW,189,222,101,3570,914,502,37%,25%,19%,23%,34%,19%,0%,13
30457,LOW,443,499,324,12635,1820,1268,33%,24%,22%,31%,46%,21%,1%,13
30513,LOW,384,433,243,10566,5431,2765,71%,12%,10%,12%,55%,32%,1%,13
30516,LOW,105,144,74,2297,915,674,37%,41%,5%,5%,45%,11%,5%,13
30518,LOW,1733,2081,1503,46731,17781,6433,78%,5%,7%,7%,59%,10%,21%,13
30530,LOW,322,377,242,8126,2800,1651,61%,15%,9%,14%,45%,15%,2%,13
30534,LOW,865,966,656,21318,10741,3742,76%,10%,6%,7%,52%,17%,4%,13
30535,LOW,282,341,203,6536,2937,1535,66%,15%,14%,14%,34%,20%,3%,13
30555,LOW,111,146,72,2935,1313,880,53%,17%,11%,16%,37%,21%,6%,13
30559,LOW,140,170,68,3290,1871,1053,64%,11%,8%,9%,35%,26%,4%,13
30568,LOW,56,66,44,1320,748,421,59%,15%,8%,10%,54%,22%,1%,13
30572,LOW,28,35,20,591,467,200,58%,9%,24%,13%,69%,35%,0%,13
30620,LOW,451,563,185,6576,4359,1928,82%,9%,5%,6%,47%,10%,9%,13
30627,LOW,140,156,99,3170,871,432,53%,14%,12%,20%,11%,15%,5%,13
30635,LOW,1200,1382,646,23190,6321,3981,48%,16%,22%,15%,41%,22%,4%,13
30643,LOW,953,1170,574,19593,6325,3305,61%,15%,8%,17%,52%,25%,2%,13
30663,LOW,117,131,86,2835,1006,418,49%,22%,11%,11%,42%,17%,2%,13
30701,LOW,1999,2297,965,34045,14424,7925,58%,15%,11%,12%,47%,13%,10%,13
30741,LOW,1637,1797,793,29775,11613,6536,63%,16%,13%,14%,49%,20%,1%,13
30813,LOW,1345,1715,852,28318,13260,3731,73%,12%,5%,6%,43%,10%,6%,13
30814,LOW,400,505,295,9747,3439,1152,50%,24%,12%,7%,40%,11%,1%,13
30828,LOW,360,408,165,5475,1331,874,30%,16%,21%,21%,32%,23%,1%,13
30907,LOW,1401,1585,690,23194,17312,4640,78%,10%,4%,6%,42%,16%,10%,13
31006,LOW,329,441,217,8760,1779,1192,39%,21%,19%,22%,52%,22%,0%,13
31007,LOW,38,51,26,1050,291,152,30%,14%,17%,15%,26%,33%,6%,13
31014,LOW,757,925,541,19770,4303,2652,43%,17%,12%,18%,48%,17%,3%,13
31019,LOW,112,152,57,2360,956,487,49%,7%,21%,17%,51%,12%,0%,13
31020,LOW,167,196,124,4270,629,396,34%,10%,44%,35%,88%,32%,0%,13
31057,LOW,174,233,138,4621,728,498,53%,11%,21%,43%,45%,37%,0%,13
31058,LOW,113,136,73,2490,630,405,38%,17%,6%,32%,100%,12%,2%,13
31060,LOW,98,123,77,2702,680,310,39%,11%,25%,19%,53%,28%,0%,13
31064,LOW,491,613,316,10560,3489,2057,47%,18%,14%,12%,47%,15%,1%,13
31078,LOW,230,303,143,5290,1208,793,43%,9%,23%,22%,48%,27%,1%,13
31091,LOW,204,259,138,4691,1207,501,43%,13%,24%,13%,22%,15%,5%,13
31092,LOW,510,589,365,15950,2001,1475,36%,16%,19%,18%,34%,22%,4%,13
31096,LOW,507,582,354,12725,2429,1725,28%,23%,24%,16%,52%,19%,1%,13
31301,LOW,304,333,140,5100,1610,992,56%,18%,7%,11%,53%,6%,4%,13
31303,LOW,93,119,69,2557,1088,423,42%,2%,17%,7%,39%,26%,0%,13
31313,LOW,2547,3247,1039,38405,15166,8332,77%,13%,4%,11%,47%,9%,7%,13
31316,LOW,658,768,387,12932,4043,2330,71%,14%,3%,14%,51%,9%,3%,13
31321,LOW,370,454,249,8469,2747,1583,69%,8%,7%,7%,43%,17%,1%,13
31324,LOW,532,706,162,5960,10847,2616,82%,8%,5%,5%,49%,9%,6%,13
31326,LOW,678,838,367,11945,8731,2457,66%,10%,4%,9%,45%,10%,6%,13
31401,LOW,1759,2046,1086,36998,8275,5655,71%,13%,8%,23%,53%,13%,9%,13
31404,LOW,2860,3541,1562,58887,12832,7738,68%,18%,7%,15%,60%,15%,3%,13
31405,LOW,2456,3251,1465,51260,14304,7667,73%,11%,7%,15%,55%,15%,7%,13
31406,LOW,1678,2264,799,29265,13920,6155,71%,13%,6%,10%,53%,16%,6%,13
31410,LOW,257,321,68,2675,9709,1952,83%,9%,4%,5%,35%,19%,4%,13
31512,LOW,112,124,83,2686,842,485,39%,12%,14%,22%,45%,22%,11%,13
31525,LOW,1386,1651,627,21920,11091,4904,69%,8%,7%,7%,40%,15%,7%,13
31537,LOW,549,704,396,13265,3270,1972,50%,16%,14%,16%,42%,17%,7%,13
31546,LOW,390,510,192,6786,2746,1361,65%,13%,8%,16%,26%,14%,3%,13
31548,LOW,852,1172,490,17700,8390,4047,80%,8%,4%,10%,48%,12%,5%,13
31549,LOW,172,224,113,4920,665,570,34%,13%,46%,14%,45%,23%,1%,13
31553,LOW,283,313,153,5590,1781,1122,58%,10%,10%,12%,43%,18%,2%,13
31554,LOW,404,470,283,9528,1801,1134,52%,20%,12%,19%,27%,10%,4%,13
31555,LOW,112,125,78,2716,1037,556,45%,19%,10%,14%,28%,18%,1%,13
31557,LOW,155,188,116,3744,1246,701,45%,13%,6%,8%,25%,16%,1%,13
31567,LOW,64,83,46,1572,500,342,65%,4%,11%,24%,43%,32%,0%,13
31569,LOW,212,281,80,2850,1996,829,62%,11%,8%,13%,22%,19%,2%,13
31602,LOW,2559,2939,1708,60504,13046,8042,58%,12%,8%,17%,54%,12%,4%,13
31642,LOW,285,336,198,6338,1578,1163,39%,21%,12%,13%,55%,13%,14%,13
31648,LOW,56,75,31,1010,341,238,23%,9%,30%,21%,30%,17%,4%,13
31733,LOW,32,42,19,820,458,172,44%,12%,14%,9%,63%,21%,0%,13
31771,LOW,424,469,314,10354,2253,1660,54%,21%,10%,13%,25%,10%,9%,13
31780,LOW,104,138,70,3100,676,462,43%,15%,10%,15%,84%,13%,3%,13
31781,LOW,102,140,68,2140,677,354,42%,25%,7%,25%,71%,11%,0%,13
31789,LOW,70,84,39,1470,608,367,27%,31%,9%,10%,22%,21%,0%,13
31796,LOW,61,73,33,1090,495,272,36%,20%,8%,13%,50%,26%,0%,13
31803,LOW,431,481,310,9850,1877,1056,35%,7%,29%,16%,21%,18%,3%,13
31804,LOW,130,161,100,3140,2066,498,67%,11%,5%,5%,13%,17%,4%,13
31805,LOW,220,301,145,4930,1009,879,24%,37%,19%,22%,36%,14%,0%,13
31806,LOW,261,287,204,7303,1538,824,53%,13%,15%,16%,50%,15%,0%,13
31807,LOW,42,52,27,795,738,10,73%,10%,2%,2%,0%,18%,5%,13
31812,LOW,31,41,18,740,239,96,30%,11%,33%,7%,25%,29%,0%,13
31822,LOW,316,389,249,9435,2316,1117,48%,12%,12%,14%,40%,23%,0%,13
31824,LOW,120,132,86,2954,468,401,26%,32%,21%,18%,68%,19%,9%,13
31829,LOW,31,40,26,880,521,42,81%,7%,5%,7%,41%,14%,3%,13
31909,LOW,1566,2139,1274,41220,15723,6321,82%,7%,6%,9%,43%,13%,8%,13
32008,LOW,412,505,307,10731,2354,1580,56%,18%,20%,16%,21%,22%,10%,12
32033,LOW,131,182,85,2750,1915,577,68%,20%,2%,6%,55%,33%,5%,12
32038,LOW,604,695,425,13721,3824,2410,55%,19%,5%,12%,43%,19%,4%,12
32040,LOW,328,439,203,7240,2663,1094,66%,10%,11%,12%,57%,17%,1%,12
32044,LOW,130,163,91,3320,813,735,34%,17%,13%,24%,86%,14%,2%,12
32053,LOW,276,381,179,7322,1289,1095,47%,8%,19%,15%,61%,19%,6%,12
32066,LOW,332,449,220,7059,1978,921,49%,15%,10%,18%,42%,15%,9%,12
32084,LOW,1549,2063,730,30947,13125,5574,70%,11%,8%,10%,55%,22%,6%,12
32091,LOW,1034,1296,507,25560,5457,2990,57%,15%,15%,21%,54%,20%,3%,12
32131,LOW,237,266,153,5015,1665,798,51%,21%,5%,11%,65%,28%,1%,12
32140,LOW,112,124,92,3547,570,367,75%,6%,6%,8%,9%,19%,0%,12
32169,LOW,161,221,127,4285,5889,1533,68%,16%,4%,6%,47%,46%,8%,12
32180,LOW,169,233,124,4270,1409,811,38%,23%,5%,5%,55%,13%,20%,12
32181,LOW,256,294,161,6255,1159,921,46%,19%,9%,23%,57%,17%,3%,12
32187,LOW,108,134,53,1790,615,295,80%,5%,12%,24%,46%,33%,0%,12
32205,LOW,2435,2862,1500,54760,14447,7323,63%,19%,7%,11%,41%,13%,7%,12
32207,LOW,2283,2869,1395,48270,15890,7619,56%,21%,9%,13%,50%,15%,18%,12
32210,LOW,5773,6831,3493,144022,26474,14508,68%,12%,8%,13%,55%,13%,8%,12
32211,LOW,2930,3404,1780,67035,13301,8382,66%,15%,10%,11%,51%,12%,12%,12
32219,LOW,1162,1455,726,28270,5019,2750,48%,23%,13%,12%,39%,17%,3%,12
32221,LOW,1472,1962,821,33395,10397,4416,66%,23%,9%,6%,44%,16%,7%,12
32244,LOW,4129,5677,2275,94860,23759,12369,74%,11%,2%,13%,59%,10%,12%,12
32312,LOW,428,536,156,5865,12229,1508,88%,7%,2%,4%,55%,19%,9%,12
32322,LOW,158,220,99,3467,951,730,55%,15%,15%,12%,47%,19%,7%,12
32346,LOW,98,135,38,1790,873,562,56%,20%,18%,6%,78%,32%,1%,12
32404,LOW,1997,2348,1079,40943,14273,6648,68%,19%,6%,7%,53%,15%,7%,12
32405,LOW,1452,1745,838,30155,12216,5188,75%,12%,6%,9%,49%,19%,8%,12
32409,LOW,432,595,214,8270,3729,1890,59%,22%,9%,12%,58%,17%,4%,12
32420,LOW,161,179,90,3570,1178,662,38%,26%,15%,12%,53%,29%,2%,12
32421,LOW,247,281,141,4877,1445,950,40%,20%,12%,18%,71%,17%,1%,12
32425,LOW,804,1045,461,18741,4766,3395,40%,22%,13%,16%,40%,20%,3%,12
32426,LOW,95,104,53,1725,294,250,23%,22%,22%,5%,44%,24%,1%,12
32442,LOW,199,276,96,3341,1396,956,32%,27%,14%,15%,61%,19%,2%,12
32446,LOW,622,713,381,13682,3916,1770,45%,25%,10%,13%,42%,20%,2%,12
32448,LOW,912,1059,536,18361,3349,2340,47%,23%,18%,30%,59%,22%,2%,12
32456,LOW,272,303,171,5628,3655,1352,72%,9%,7%,5%,58%,29%,4%,12
32464,LOW,151,198,80,3776,1565,665,24%,31%,17%,15%,21%,24%,3%,12
32465,LOW,365,407,211,7964,2273,934,53%,17%,12%,13%,43%,18%,6%,12
32504,LOW,1139,1389,953,31353,9608,3817,83%,8%,4%,9%,45%,19%,6%,12
32514,LOW,2504,3329,2053,68940,17435,9554,77%,10%,5%,13%,47%,17%,8%,12
32539,LOW,1513,1660,1194,40249,10637,4226,78%,7%,5%,9%,50%,13%,3%,12
32542,LOW,87,105,86,2540,881,338,94%,5%,0%,11%,63%,1%,7%,12
32544,LOW,55,61,55,1650,416,393,95%,5%,0%,0%,75%,0%,3%,12
32547,LOW,1629,2229,1328,43399,14313,7059,73%,10%,8%,9%,56%,16%,13%,12
32548,LOW,1117,1522,894,29869,9937,4765,74%,9%,5%,9%,55%,19%,12%,12
32567,LOW,214,252,139,5021,1574,668,57%,22%,7%,7%,28%,13%,4%,12
32570,LOW,1488,1933,1089,38616,13445,5526,72%,9%,6%,5%,42%,17%,4%,12
32579,LOW,237,301,197,6895,4452,976,78%,9%,7%,3%,62%,23%,9%,12
32583,LOW,1210,1398,832,31895,9570,3278,71%,8%,8%,6%,20%,15%,4%,12
32601,LOW,1769,2435,1480,48095,8603,7425,75%,6%,4%,33%,68%,6%,12%,12
32603,LOW,403,536,393,11828,1740,1711,71%,8%,0%,47%,83%,2%,16%,12
32605,LOW,877,1025,727,23964,11298,3560,88%,4%,3%,5%,46%,21%,8%,12
32608,LOW,3122,3524,2667,85758,20707,10780,81%,7%,2%,16%,62%,11%,19%,12
32622,LOW,85,115,66,2176,575,236,66%,26%,3%,23%,14%,15%,0%,12
32640,LOW,738,961,510,16977,4028,2649,46%,17%,13%,15%,51%,23%,5%,12
32643,LOW,498,572,383,12631,4171,1543,68%,9%,7%,7%,58%,19%,3%,12
32653,LOW,636,723,528,16600,6383,1924,82%,9%,3%,7%,45%,19%,11%,12
32666,LOW,300,365,166,5937,2746,1166,59%,21%,9%,12%,75%,33%,2%,12
32693,LOW,593,654,294,10600,3978,2343,34%,15%,11%,13%,33%,21%,4%,12
32694,LOW,152,195,98,3077,975,508,50%,8%,29%,17%,55%,25%,6%,12
32696,LOW,646,866,330,13650,5302,2978,54%,7%,10%,13%,60%,21%,6%,12
32712,LOW,2030,2258,1746,56627,15902,5664,84%,5%,4%,5%,53%,16%,16%,12
32713,LOW,736,817,415,13825,9149,2256,70%,17%,4%,6%,38%,26%,8%,12
32726,LOW,1521,1834,738,28110,9424,5164,76%,9%,5%,9%,57%,19%,12%,12
32735,LOW,163,185,76,3080,2169,594,81%,8%,7%,4%,34%,30%,8%,12
32746,LOW,1299,1441,1169,36707,18501,4562,90%,5%,2%,4%,41%,17%,18%,12
32765,LOW,1799,2454,1517,48144,21830,6879,87%,6%,3%,7%,56%,12%,13%,12
32779,LOW,600,704,552,16770,11083,1974,90%,2%,3%,5%,54%,21%,13%,12
32819,LOW,1332,1550,1164,37454,10034,4124,84%,9%,1%,9%,55%,16%,23%,12
32828,LOW,2434,2854,1975,67903,23591,7110,70%,25%,2%,8%,48%,10%,19%,12
32903,LOW,215,292,181,5585,6233,1281,83%,7%,5%,5%,60%,26%,10%,12
32958,LOW,753,985,247,8600,12440,3920,73%,10%,7%,5%,51%,37%,6%,12
32962,LOW,1053,1462,443,14936,9314,4211,73%,6%,8%,8%,59%,28%,13%,12
32966,LOW,518,687,169,5560,8651,2607,73%,9%,8%,10%,67%,42%,8%,12
32967,LOW,1236,1549,708,23455,8791,3734,73%,7%,11%,10%,61%,29%,12%,12
33015,LOW,2907,3512,1470,57575,23078,11066,81%,9%,3%,11%,64%,13%,59%,12
33020,LOW,2955,3967,1324,50618,19434,11449,76%,16%,3%,13%,63%,12%,42%,12
33023,LOW,4192,4907,2143,78560,20812,11405,72%,9%,6%,9%,71%,12%,41%,12
33030,LOW,2706,3216,1591,63665,10199,8942,57%,22%,7%,19%,71%,8%,42%,12
33031,LOW,235,284,156,5460,2690,590,75%,9%,5%,6%,35%,13%,37%,12
33128,LOW,922,1016,466,18480,3577,3038,42%,11%,14%,34%,68%,21%,72%,12
33130,LOW,2186,2867,1076,43660,16124,10603,55%,11%,8%,20%,60%,16%,61%,12
33141,LOW,1497,2029,1032,36470,16538,7930,69%,8%,4%,13%,68%,14%,60%,12
33150,LOW,3635,3989,2075,77666,11030,9218,52%,7%,10%,22%,58%,13%,42%,12
33161,LOW,4195,4619,2243,83882,17264,12062,66%,7%,7%,13%,69%,13%,55%,12
33162,LOW,3090,3455,1578,60551,14605,9004,68%,8%,4%,11%,65%,14%,53%,12
33166,LOW,944,1062,468,18885,9418,4000,74%,11%,6%,10%,60%,17%,61%,12
33173,LOW,998,1116,465,18138,11644,4148,81%,9%,3%,10%,61%,21%,55%,12
33176,LOW,1843,2348,876,33734,18635,7148,76%,7%,3%,8%,56%,18%,42%,12
33186,LOW,2055,2754,900,37173,22617,8676,77%,13%,3%,11%,64%,16%,49%,12
33196,LOW,1636,1792,793,32730,16601,5686,80%,8%,1%,6%,72%,12%,54%,12
33311,LOW,8450,9305,4865,189498,24737,18978,59%,12%,11%,19%,70%,14%,22%,12
33313,LOW,5437,6878,2755,110749,21780,15516,64%,11%,7%,17%,73%,13%,42%,12
33315,LOW,482,643,249,9040,5895,2342,75%,10%,3%,10%,47%,16%,32%,12
33403,LOW,804,1102,454,17768,4922,2630,67%,18%,4%,9%,54%,13%,26%,12
33404,LOW,2977,3388,1863,65963,11356,7001,59%,22%,10%,14%,64%,20%,19%,12
33407,LOW,2837,3536,1616,63265,12174,8006,59%,18%,9%,14%,68%,16%,27%,12
33430,LOW,2123,2634,1464,57290,6524,5273,34%,17%,27%,27%,52%,13%,31%,12
33440,LOW,1348,1868,875,34500,6985,5455,54%,18%,15%,12%,54%,14%,32%,12
33446,LOW,334,407,89,3140,13680,4123,73%,10%,8%,8%,66%,58%,22%,12
33461,LOW,2360,3202,1318,59484,15771,8859,70%,12%,6%,10%,59%,13%,47%,12
33527,LOW,873,1129,695,24254,5359,3010,67%,17%,7%,16%,58%,14%,18%,12
33543,LOW,1016,1218,757,23504,11371,2960,90%,6%,2%,5%,44%,14%,16%,12
33544,LOW,821,1011,587,19119,9437,1939,92%,4%,1%,5%,45%,12%,14%,12
33565,LOW,858,1090,564,19669,6086,3585,65%,17%,8%,8%,52%,18%,12%,12
33598,LOW,1337,1493,1053,37768,7705,4539,71%,19%,4%,5%,36%,18%,20%,12
33609,LOW,602,831,469,15003,8330,2511,85%,7%,5%,8%,45%,17%,16%,12
33618,LOW,968,1072,740,25299,11957,3440,83%,8%,3%,5%,54%,21%,17%,12
33703,LOW,813,948,637,20625,11132,2288,86%,8%,3%,5%,39%,19%,8%,12
33708,LOW,478,626,372,11435,7747,2653,78%,11%,6%,7%,58%,38%,9%,12
33763,LOW,1110,1308,947,28506,9755,4945,70%,11%,11%,11%,56%,36%,16%,12
33776,LOW,221,267,179,5625,5004,891,84%,7%,4%,5%,54%,27%,8%,12
33825,LOW,1696,2311,696,24880,9905,6378,63%,17%,8%,16%,56%,29%,13%,12
33827,LOW,122,137,53,2340,879,482,76%,15%,4%,7%,87%,22%,6%,12
33834,LOW,351,415,270,9455,1652,1132,46%,8%,22%,14%,47%,14%,14%,12
33843,LOW,620,744,293,9740,3942,2160,47%,21%,9%,12%,47%,32%,11%,12
33848,LOW,49,57,20,700,209,92,62%,19%,0%,13%,73%,11%,0%,12
33870,LOW,1929,2544,826,30495,10974,7517,59%,16%,14%,17%,60%,34%,8%,12
33872,LOW,447,502,136,4665,5834,1918,74%,7%,5%,8%,41%,44%,14%,12
33901,LOW,1525,2054,682,29220,9246,5953,65%,15%,11%,14%,61%,22%,20%,12
33903,LOW,1014,1195,341,14875,10902,4331,67%,13%,7%,9%,48%,43%,8%,12
33916,LOW,2272,2671,1101,46555,9339,6653,59%,19%,10%,18%,58%,14%,23%,12
33936,LOW,1850,2333,863,35275,9360,7309,67%,13%,9%,17%,60%,21%,26%,12
33954,LOW,293,331,77,2410,4108,1013,86%,6%,3%,7%,36%,29%,14%,12
33971,LOW,1432,1602,764,29955,7847,4300,76%,11%,4%,7%,66%,10%,30%,12
33972,LOW,764,850,432,17845,4405,2414,72%,13%,2%,10%,53%,14%,26%,12
33990,LOW,1197,1660,510,22330,12993,5340,78%,11%,6%,7%,57%,22%,21%,12
33993,LOW,1131,1469,517,21345,9987,3694,78%,9%,3%,11%,44%,20%,16%,12
34209,LOW,950,1190,745,22599,15080,4132,83%,6%,5%,6%,57%,35%,9%,12
34217,LOW,82,99,73,2155,2042,560,73%,15%,2%,14%,77%,47%,7%,12
34234,LOW,1486,1947,591,22850,8696,5004,65%,17%,9%,13%,62%,22%,14%,12
34275,LOW,336,389,91,3330,9789,2414,77%,13%,4%,7%,59%,45%,11%,12
34286,LOW,643,707,178,6270,7418,2033,79%,11%,0%,4%,34%,22%,9%,12
34292,LOW,131,145,20,700,7919,1736,74%,9%,8%,6%,61%,58%,9%,12
34481,LOW,904,1032,695,23102,11958,5079,68%,7%,11%,9%,46%,62%,8%,12
34491,LOW,1616,1913,1032,36840,13125,6114,77%,5%,5%,9%,47%,38%,6%,12
34607,LOW,543,603,406,12270,3701,1825,73%,8%,6%,18%,71%,34%,8%,12
34677,LOW,819,934,674,20272,8788,2769,84%,8%,3%,6%,54%,19%,12%,12
34683,LOW,890,1213,731,23457,13571,4462,79%,7%,4%,6%,52%,21%,13%,12
34734,LOW,142,175,120,3750,1300,623,89%,6%,0%,4%,90%,9%,20%,12
34736,LOW,1060,1209,871,28279,9232,3035,71%,11%,5%,5%,29%,21%,10%,12
34748,LOW,2512,3276,1225,46300,19237,9751,72%,11%,9%,11%,63%,41%,8%,12
34773,LOW,192,224,125,4285,1220,501,70%,17%,0%,15%,61%,16%,8%,12
34787,LOW,2869,3230,2522,83802,26245,8270,86%,6%,2%,7%,48%,11%,22%,12
34946,LOW,758,921,421,13930,2523,1763,56%,11%,26%,32%,55%,19%,15%,12
34951,LOW,686,922,276,9400,6997,2492,75%,11%,6%,9%,41%,34%,10%,12
34983,LOW,1752,2228,710,26375,15387,6113,81%,8%,5%,7%,63%,19%,17%,12
35022,LOW,1363,1608,1036,32698,9062,2532,77%,8%,10%,9%,71%,20%,2%,1
35034,LOW,336,408,218,7065,1276,989,17%,34%,22%,21%,74%,14%,1%,1
35045,LOW,826,1043,529,18010,5676,3028,49%,22%,11%,14%,25%,18%,3%,1
35046,LOW,163,222,89,3520,1895,602,43%,24%,14%,6%,38%,15%,0%,1
35068,LOW,439,529,362,10924,3461,1319,74%,11%,5%,5%,40%,14%,7%,1
35080,LOW,393,434,340,10255,6466,985,84%,8%,2%,4%,31%,11%,3%,1
35096,LOW,341,444,201,6865,2975,1247,57%,25%,4%,10%,37%,13%,1%,1
35120,LOW,726,868,585,18973,6239,2139,71%,10%,7%,8%,34%,11%,2%,1
35125,LOW,520,687,302,11205,3961,1912,66%,11%,14%,11%,42%,18%,1%,1
35126,LOW,1053,1203,822,25974,7508,2574,72%,15%,6%,6%,25%,14%,1%,1
35127,LOW,570,638,443,14320,3398,949,81%,7%,5%,4%,42%,17%,1%,1
35131,LOW,191,257,101,4330,1252,652,41%,30%,9%,19%,50%,18%,0%,1
35146,LOW,392,456,321,10032,3915,994,68%,11%,6%,7%,21%,18%,3%,1
35172,LOW,115,146,67,2190,1024,546,46%,29%,12%,8%,40%,16%,2%,1
35175,LOW,202,228,160,5170,2040,648,62%,17%,11%,14%,32%,25%,2%,1
35176,LOW,94,114,81,2405,355,275,36%,19%,10%,39%,69%,13%,0%,1
35178,LOW,261,295,196,6000,1190,816,41%,22%,16%,22%,22%,27%,0%,1
35226,LOW,425,562,332,10305,14283,2358,89%,5%,2%,4%,49%,13%,7%,1
35235,LOW,1497,1869,1227,38263,8290,3685,69%,19%,4%,11%,51%,17%,4%,1
